sepalwidth,class
3.5,Iris-setosa
3,Iris-setosa
3.2,Iris-setosa
3.1,Iris-setosa
3.6,Iris-setosa
3.9,Iris-setosa
3.4,Iris-setosa
3.4,Iris-setosa
2.9,Iris-setosa
3.1,Iris-setosa
3.7,Iris-setosa
3.4,Iris-setosa
3,Iris-setosa
3,Iris-setosa
4,Iris-setosa
4.4,Iris-setosa
3.9,Iris-setosa
3.5,Iris-setosa
3.8,Iris-setosa
3.8,Iris-setosa
3.4,Iris-setosa
3.7,Iris-setosa
3.6,Iris-setosa
3.3,Iris-setosa
3.4,Iris-setosa
3,Iris-setosa
3.4,Iris-setosa
3.5,Iris-setosa
3.4,Iris-setosa
3.2,Iris-setosa
3.1,Iris-setosa
3.4,Iris-setosa
4.1,Iris-setosa
4.2,Iris-setosa
3.1,Iris-setosa
3.2,Iris-setosa
3.5,Iris-setosa
3.1,Iris-setosa
3,Iris-setosa
3.4,Iris-setosa
3.5,Iris-setosa
2.3,Iris-setosa
3.2,Iris-setosa
3.5,Iris-setosa
3.8,Iris-setosa
3,Iris-setosa
3.8,Iris-setosa
3.2,Iris-setosa
3.7,Iris-setosa
3.3,Iris-setosa
3.2,Iris-versicolor
3.2,Iris-versicolor
3.1,Iris-versicolor
2.3,Iris-versicolor
2.8,Iris-versicolor
2.8,Iris-versicolor
3.3,Iris-versicolor
2.4,Iris-versicolor
2.9,Iris-versicolor
2.7,Iris-versicolor
2,Iris-versicolor
3,Iris-versicolor
2.2,Iris-versicolor
2.9,Iris-versicolor
2.9,Iris-versicolor
3.1,Iris-versicolor
3,Iris-versicolor
2.7,Iris-versicolor
2.2,Iris-versicolor
2.5,Iris-versicolor
3.2,Iris-versicolor
2.8,Iris-versicolor
2.5,Iris-versicolor
2.8,Iris-versicolor
2.9,Iris-versicolor
3,Iris-versicolor
2.8,Iris-versicolor
3,Iris-versicolor
2.9,Iris-versicolor
2.6,Iris-versicolor
2.4,Iris-versicolor
2.4,Iris-versicolor
2.7,Iris-versicolor
2.7,Iris-versicolor
3,Iris-versicolor
3.4,Iris-versicolor
3.1,Iris-versicolor
2.3,Iris-versicolor
3,Iris-versicolor
2.5,Iris-versicolor
2.6,Iris-versicolor
3,Iris-versicolor
2.6,Iris-versicolor
2.3,Iris-versicolor
2.7,Iris-versicolor
3,Iris-versicolor
2.9,Iris-versicolor
2.9,Iris-versicolor
2.5,Iris-versicolor
2.8,Iris-versicolor
3.3,Iris-virginica
2.7,Iris-virginica
3,Iris-virginica
2.9,Iris-virginica
3,Iris-virginica
3,Iris-virginica
2.5,Iris-virginica
2.9,Iris-virginica
2.5,Iris-virginica
3.6,Iris-virginica
3.2,Iris-virginica
2.7,Iris-virginica
3,Iris-virginica
2.5,Iris-virginica
2.8,Iris-virginica
3.2,Iris-virginica
3,Iris-virginica
3.8,Iris-virginica
2.6,Iris-virginica
2.2,Iris-virginica
3.2,Iris-virginica
2.8,Iris-virginica
2.8,Iris-virginica
2.7,Iris-virginica
3.3,Iris-virginica
3.2,Iris-virginica
2.8,Iris-virginica
3,Iris-virginica
2.8,Iris-virginica
3,Iris-virginica
2.8,Iris-virginica
3.8,Iris-virginica
2.8,Iris-virginica
2.8,Iris-virginica
2.6,Iris-virginica
3,Iris-virginica
3.4,Iris-virginica
3.1,Iris-virginica
3,Iris-virginica
3.1,Iris-virginica
3.1,Iris-virginica
3.1,Iris-virginica
2.7,Iris-virginica
3.2,Iris-virginica
3.3,Iris-virginica
3,Iris-virginica
2.5,Iris-virginica
3,Iris-virginica
3.4,Iris-virginica
3,Iris-virginica
